Group,Country,PopulationM
Africa,South Africa,60
Africa,Egypt,103
Africa,Morocco,37
Africa,Algeria,44
Africa,Nigeria,199
Africa,Ghana,31
Africa,Cameroon,27
Africa,Guinea,13
Africa,Ivory Coast,26
Africa,Senegal,17
Africa,Djibouti,1
Africa,Tunisia,12
Africa,Niger,25
Africa,Somalia,16
Africa,DRC,84
Africa,Burkina Faso,21
Africa,Sudan,42
Africa,Mali,20
Africa,Mayotte,0
Africa,Tanzania,60
Africa,Kenya,52
Africa,Réunion,1
Africa,Gabon,2
Africa,Mauritius,1
Africa,Equatorial Guinea,1
Africa,Rwanda,13
Africa,Guinea-Bissau,2
Africa,Congo,6
Africa,Sierra Leone,8
Africa,Cabo Verde,1
Africa,Liberia,5
Africa,Madagascar,30
Africa,Ethiopia,135
Africa,Togo,8
Africa,Zambia,18
Africa,Chad,17
Africa,Eswatini,1
Africa,Benin,13
Africa,Uganda,44
Africa,Mozambique,27
Africa,CAR,5
Africa,Libya,7
Africa,South Sudan,12
Africa,Malawi,20
Africa,Eritrea,4
Africa,Angola,35
Africa,Zimbabwe,17
Africa,Botswana,2
Africa,Gambia,2
Africa,Sao Tome and Principe,0
Africa,Namibia,3
Africa,Burundi,15
Africa,Seychelles,0
Africa,Mauritania,4
Africa,Western Sahara,1
Africa,Comoros,1
India,India,1353
Europe,Spain,47
Europe,Italy,60
Europe,UK,68
Europe,France,65
Europe,Germany,84
Europe,Russia,146
Europe,Belgium,12
Europe,Netherlands,17
Europe,Switzerland,9
Europe,Portugal,10
Europe,Sweden,10
Europe,Ireland,5
Europe,Belarus,9
Europe,Austria,9
Europe,Poland,38
Europe,Romania,19
Europe,Ukraine,44
Europe,Denmark,6
Europe,Serbia,9
Europe,Norway,5
Europe,Czechia,11
Europe,Finland,6
Europe,Moldova,4
Europe,Luxembourg,1
Europe,Hungary,10
Europe,Greece,10
Europe,Croatia,4
Europe,Bosnia and Herzegovina,3
Europe,Iceland,0
Europe,Estonia,1
Europe,Bulgaria,7
Europe,North Macedonia,2
Europe,Slovenia,2
Europe,Lithuania,3
Europe,Slovakia,5
Europe,Latvia,2
Europe,Albania,3
Europe,Andorra,0
Europe,San Marino,0
Europe,Channel Islands,0
Europe,Malta,0
Europe,Montenegro,1
Europe,Isle of Man,0
Europe,Faeroe Islands,0
Europe,Gibraltar,0
Europe,Monaco,0
Europe,Liechtenstein,0
Europe,Vatican City,0
ME,Bahrain,0
ME,Cyprus,1
ME,Turkish,1
ME,Egypt,0
ME,Iran,82
ME,Iraq,78
ME,Kurdish,33
ME,Israel,7
ME,Jordan,6
ME,Kuwait,3
ME,Lebanon,4
ME,Oman,2
ME,Palestine,4
ME,Qatar,1
ME,Saudi Arabia,27
ME,Syria,23
ME,Turkey,73
ME,United Arab Emirates,8
ME,Yemen,23
